
Iteracion no.:16

x	 y	 z

15155081510912.000000	 821192491008.000000	 2612337049600.000000

26459625472.000000	 353764737024.000000	 292261986304.000000

14784533504.000000	 22718124032.000000	 52630167552.000000

6435401216.000000	 17423636480.000000	 32968040448.000000

21214740480.000000	 7272563200.000000	 17265559552.000000

6137007104.000000	 13729495040.000000	 23961274368.000000

4024362240.000000	 3224349952.000000	 7148164096.000000

1327871616.000000	 1636649856.000000	 3959989760.000000

3757826.000000	 3166871.000000	 1361633.000000

