Iteracion no.:1
x	 y	 z
3138811904.000000	 170079568.000000	 541048448.000000
5453548.500000	 72911520.000000	 60235664.000000
2986799.000000	 4589797.500000	 10633369.000000
1241330.750000	 3361063.250000	 6359813.500000
3748938.000000	 1284970.375000	 3051020.000000
928953.375000	 2078321.875000	 3627574.000000
462679.468750	 370670.937500	 821805.250000
86758.625000	 106847.023438	 258352.875000
498.835754	 352.112335	 146.498077
Iteracion no.:2
x	 y	 z
27464396800.000000	 1488184704.000000	 4734138880.000000
47925200.000000	 640748032.000000	 529352480.000000
26717188.000000	 41054872.000000	 95111456.000000
11571149.000000	 31328560.000000	 59278816.000000
37806824.000000	 12959756.000000	 30768790.000000
10783231.000000	 24122714.000000	 42104064.000000
6929484.500000	 5551933.500000	 12308592.000000
2222602.500000	 2739459.750000	 6628669.000000
6362.576660	 5170.451660	 2184.038574
Iteracion no.:3
x	 y	 z
95409692672.000000	 5169865728.000000	 16446119936.000000
166554224.000000	 2226801920.000000	 1839667200.000000
93000736.000000	 142908032.000000	 331071936.000000
40424276.000000	 109446048.000000	 207089024.000000
132929864.000000	 45567928.000000	 108184088.000000
38303864.000000	 85689968.000000	 149557360.000000
24983886.000000	 20017298.000000	 44377560.000000
8183208.500000	 10086219.000000	 24405158.000000
23082.861328	 19078.062500	 8112.392578
Iteracion no.:4
x	 y	 z
229407637504.000000	 12430673920.000000	 39543836672.000000
400506752.000000	 5354724352.000000	 4423793664.000000
223722160.000000	 343777440.000000	 796419584.000000
97326424.000000	 263504784.000000	 498591168.000000
320520768.000000	 109874816.000000	 260853968.000000
92575056.000000	 207104640.000000	 361455520.000000
60582380.000000	 48539136.000000	 107608752.000000
19933742.000000	 24569264.000000	 59448328.000000
56233.156250	 46789.917969	 19964.160156
Iteracion no.:5
x	 y	 z
451891200000.000000	 24486156288.000000	 77894139904.000000
788948992.000000	 10548167680.000000	 8714345472.000000
440766272.000000	 677291136.000000	 1569058944.000000
191803456.000000	 519295936.000000	 982585664.000000
631982272.000000	 216645584.000000	 514335584.000000
182680960.000000	 408687584.000000	 713266560.000000
119681464.000000	 95889816.000000	 212582192.000000
39439368.000000	 48610720.000000	 117618696.000000
111374.906250	 93010.828125	 39767.371094
Iteracion no.:6
x	 y	 z
785293246464.000000	 42551861248.000000	 135363878912.000000
1371046912.000000	 18330783744.000000	 15143934976.000000
766017664.000000	 1177077248.000000	 2726895872.000000
333381344.000000	 902610624.000000	 1707873792.000000
1098717056.000000	 376645248.000000	 894186176.000000
317705728.000000	 710761472.000000	 1240458624.000000
208237632.000000	 166841728.000000	 369877952.000000
68665240.000000	 84632736.000000	 204776784.000000
194064.812500	 162441.765625	 69548.312500
Iteracion no.:7
x	 y	 z
1252046798848.000000	 67843350528.000000	 215819943936.000000
2185966336.000000	 29226223616.000000	 24145178624.000000
1221361024.000000	 1876763648.000000	 4347834880.000000
531585952.000000	 1439240192.000000	 2723256320.000000
1752128768.000000	 600639168.000000	 1425963520.000000
506733568.000000	 1133648896.000000	 1978499328.000000
332207360.000000	 266167200.000000	 590076096.000000
109576520.000000	 135057408.000000	 326783104.000000
309857.562500	 259781.875000	 111332.500000
Iteracion no.:8
x	 y	 z
1874584797184.000000	 101576171520.000000	 323129114624.000000
3272873984.000000	 43758133248.000000	 36150689792.000000
1828680576.000000	 2809979136.000000	 6509781504.000000
795943232.000000	 2154976256.000000	 4077533184.000000
2623620096.000000	 899392320.000000	 2135223552.000000
758848768.000000	 1697673216.000000	 2962856704.000000
497547040.000000	 398638656.000000	 883756672.000000
164138384.000000	 202306848.000000	 489498176.000000
464306.656250	 389729.437500	 167145.062500
Iteracion no.:9
x	 y	 z
2675340214272.000000	 144965877760.000000	 461158187008.000000
4670935552.000000	 62450176000.000000	 51593080832.000000
2609861632.000000	 4010351616.000000	 9290638336.000000
1135979008.000000	 3075608064.000000	 5819504640.000000
3744593408.000000	 1283670016.000000	 3047524864.000000
1083135488.000000	 2423156736.000000	 4228998656.000000
710213504.000000	 569028480.000000	 1261499392.000000
234315984.000000	 288803264.000000	 698782272.000000
662965.000000	 556982.187500	 239010.859375
Iteracion no.:10
x	 y	 z
3676745760768.000000	 199228014592.000000	 633774080000.000000
6419315712.000000	 85825994752.000000	 70904963072.000000
3586787072.000000	 5511507456.000000	 12768310272.000000
1561219072.000000	 4226929152.000000	 7997972992.000000
5146451456.000000	 1764236544.000000	 4188423424.000000
1488678016.000000	 3330421504.000000	 5812393472.000000
976162880.000000	 782109056.000000	 1733884288.000000
